sentence,label
"१४९२ में एक चार्टर के आधार पर, उसके पिता ने उसे वाडोविस के उत्तराधिकारी के रूप में छोड़ दिया।",O O O O O O O O O O O B-LOC O O O O O O O
इस विश्वविद्यालय को ओडिशा के नॉलेज हब में से एक कहा जाता है।,O O O B-LOC O O O O O O O O O
"इस तरह का पहला बेड़ा, आर12 , १९४८ में सेवा में लगाया गया था।",O O O O O B-PROD O O O O O O O O
"इस बिंदु पर, वायरल संजीन को अज्ञात तंत्र द्वारा नाभिक में ले जाया जाता है और प्रति सेल १० २०० वायरल जीनोम की एक प्रतिलिपि संख्या पर खुद को स्थापित करता है।",O O O O B-PROD O O O O O O O O O O O O O O O O O O O O O O O O O O O
"ग्वाटेमाला में, कमजोर तूफान ने अत्यधिक वर्षा की जिससे व्यापक बाढ़ आई।",B-LOC O O O O O O O O O O O
जहाजों को किराए पर लेने और प्रबंधित करने के लिए एजेंसी को पहले तीन वर्षों के लिए डोडवेल एंड कंपनी द्वारा सुरक्षित किया गया था।,O O O O O O O O O O O O O O O O O B-CORP I-CORP I-CORP O O O O O
इस्लामिक सहकारिता का संगठन के ५वें महासचिव के रूप में भी कार्य किया।,B-GRP I-GRP I-GRP I-GRP O O O O O O O O O
इसके बाद उन्होंने साहित्यिक समाचार पत्र द्रिता (लाइट) के लिए काम किया।,O O O O O O B-CW O O O O O
वह २००९ में एस्पोर्टे क्लब बाहिया के पेशेवर समूह में शामिल हुए।,O O O B-GRP I-GRP I-GRP O O O O O O
"मोंटागु विलियम विल्बरफोर्स के मित्र और समर्थक थे, और इस प्रकार दास व्यापार के उन्मूलन के पक्षधर थे।",O B-PER I-PER O O O O O O O O O O O O O O O
"आमतौर पर, मैकरोस को १५वीं सदी के विशिष्ट परिधान पहनाए जाते हैं, और वे जिस संस्था का प्रतिनिधित्व करते हैं, उसके हथियारों के कोट के साथ टैबर्ड पहनते हैं।",O O O O O O O O O O O O O O O O O O O O O O O O O O B-PROD O O
पहले और आखिरी वाले बीबीसी द्वारा निर्मित किए गए थे।,O O O O B-CORP O O O O O
इसका वर्णन १९१८ में जॉर्ज फ्रांसिस हैम्पसन द्वारा किया गया था।,O O O O B-PER I-PER I-PER O O O O
तली हुई गेंदों को एक विशेष सांचे में एक टीले में ढेर किया जाता है और गर्म मधु से भीग दिया जाता है।,O O O O O O O O O O O O O O O O O B-PROD O O O O O
१९३७ में उनका अगला क्लब सेंट बर्नार्ड एफ.सी. था।,O O O O O B-GRP I-GRP I-GRP O
"वे टैमनी हॉल के विरोधी थे, जो कि २०वीं सदी की शुरुआत में शहर के राजनीतिक जीवन पर हावी था।",O B-GRP I-GRP O O O O O O O O O O O O O O O O O
"इसे ऑस्ट्रेलियाई रिकॉर्डिंग उद्योग संघ द्वारा ७०,००० से अधिक प्रतियों की बिक्री के लिए प्लेटिनम प्रमाणित किया गया था।",O B-CORP I-CORP I-CORP I-CORP O O O O O O O O O O O O O O
रुसब्रिजर २०१६ की फिल्म स्नोडेन में एक मीटिंग मॉडरेटर के रूप में एक कैमियो भूमिका के साथ दिखाई देते हैं।,O O O O B-CW O O O O O O O O O O O O O O O
हैरिस डेथ रो रिकॉर्ड्स रिकॉर्ड लेबल के सह संस्थापक थे।,O B-CORP I-CORP I-CORP B-CORP I-CORP O O O O
"वह अपनी पत्नी, बेटी और बेटे के साथ दीनिया में रहता है।",O O O O O O O O B-LOC O O O
"ब्रोटिज़ोलम का दुरुपयोग, हालांकि व्यापक नहीं है, १९८० और १९९० के दशक के अंत में हांगकांग में एक समस्या थी।",O O O O O O O O O O O O O O O B-LOC O O O O
"नैनोसाइज्ड सोना, नैनोसिल्वर की तरह, मुंह में बैक्टीरिया कीटाणुरहित करने में प्रभावी माना जाता है और इसे दन्तमंजन में जोड़ा जाता है।",O O O O O O O O O O O O O O O O O B-PROD O O O O
यह एल्बम से जारी किया गया तीसरा एकल था और इसके रिलीज के साथ एक वीडियो संगीत था।,O O O O O O O O O O O O O O O B-CW I-CW O
"इसे संगीत कनाडा द्वारा स्वर्ण प्रमाणित किया गया था, जो देश में ४०,००० से अधिक प्रतियों के शिपमेंट को दर्शाता है।",O B-GRP I-GRP O O O O O O O O O O O O O O O O O O
उन्हें पास के हंटर्स पॉइंट नेवल शिपयार्ड के आसपास लंबी सैर करना पसंद था।,O O O B-CORP I-CORP I-CORP I-CORP O O O O O O O
"उन्होंने इसकी खोजबीन नहीं की, लेकिन जुआन डे फुका का सम्मान करते हुए इसे इसका वर्तमान नाम दिया।",O O O O O O B-PER I-PER I-PER O O O O O O O O O
डाहलग्रेन ने देखा कि मौखिक रूप से लिए गए कुछ समुद्री अर्क त्वचा की संरचना और कार्य को बचाने और पुनर्स्थापित करने में मदद कर सकते हैं।,O O O O O O O O O O O O B-PROD O O O O O O O O O O O O O O
चार्ल्सटन के बाहर एक छोटे से शहर से।,B-LOC O O O O O O O
लेडी एंड द ट्रैम्प . से आवारा चरित्र,B-CW I-CW I-CW I-CW O O O O
उन्होंने फ्रेंकस्टीन अनबाउंड के साथ एक बार फिर निर्देशन में वापसी की।,O B-CW I-CW O O O O O O O O O
क्राइस्ट का समुदाय न तो बहुविवाह की प्रथा का पालन करता है और न ही कभी किया है।,B-GRP I-GRP I-GRP O O O O O O O O O O O O O O O
इसे स्कोपस में अनुक्रमित किया गया था।,O B-CW O O O O O
"दोहराना ट्रे समाजवादी पर टिप्पणी करें? , संस्करण ग्रासेट , २००३",O O O O O O O B-CORP I-CORP O O
"बाद में, उन्हें ब्रुग्ज का सैन्य और नागरिक गवर्नर बनाया गया।",O O O B-LOC O O O O O O O
"प्रतियोगिता आयोजक के नियमों के तहत, यूरोपीय रग्बी कप , प्रत्येक पूल के भीतर टाईब्रेकर इस प्रकार हैं।",O O O O O O B-CORP I-CORP I-CORP O O O O O O O O O
"कैरल क्वीन (उभयलिंगी लेखक, संपादक, समाजशास्त्री और सेक्सोलॉजिस्ट)",B-PER I-PER O O O O O O
फ्रांसीसी ओपेरा संगीतकारों ने भी इस विषय का इलाज किया था: यह जीन-फिलिप रमेउ लेस फेट्स डी पॉलीमनी में दूसरे प्रवेश द्वार की साजिश का निर्माण करता है।,O O O O O O O O O O O O B-PER I-PER B-CW I-CW I-CW I-CW O O O O O O O O O O
"जैसा कि पिछले वाक्य में बताया गया है, डाउनटाउन क्षेत्र एक शहरी गर्मी द्वीप (यूएचआई) बिल्ड अप प्रदर्शित करता है जो विशेष रूप से गर्मी की रातों की उमस को बढ़ा सकता है।",O O O O O O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O O O O O O O O O O O
"उनके अच्छे फॉर्म ने उन्हें २००० में फैक्ट्री केटीएम टीम में ले जाते हुए देखा, एक ऐसा कदम जिसने उन्हें १२५सीसी विश्व खिताब के लिए चुनौती देने की गति दी।",O O O O O O O O B-CORP O O O O O O O O O O O O O O O O O O O O O
"फिल्म के विभिन्न संस्करण मौजूद हैं, जिनमें से एक सभी पुरुष हैं, सभी नग्न कलाकार हैं, और दूसरा जीका में सभी अभिनेताओं के साथ है।",O O O O O O O O O O O O O O O O O O B-PROD O O O O O O
अब तक के सभी दो विश्व कप थाईलैण्ड ने जीते हैं।,O O O O O O O B-LOC O O O
"१९१९ में, कम्युनिस्ट शासन के कुछ ही महीनों के बाद, हंगेरियन सोवियत गणराज्य एक राष्ट्रवादी प्रतिक्रांति द्वारा भंग कर दिया गया था।",O O O O O O O O O O B-LOC I-LOC I-LOC O O O O O O O O O
उन्होंने १९५३ में फोर स्टार प्लेहाउस के एक एपिसोड में टेलीविजन पर अपना पहला प्रदर्शन किया।,O O O B-CW I-CW I-CW O O O O O O O O O O
इनमें से छह विमान थे।,O O O B-PROD O
"रूकी वापस दौड़ते हुए डुआने थॉमस ८०३ गज (एक ५.१ गज प्रति कैरी औसत) और पांच टचडाउन के लिए १५१ बार पहुंचे, जबकि एक और ४१६ गज की वापसी किकऑफ जोड़ते हुए।",O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O
यह ए सदस्यों द्वारा प्रस्तुत सात क्षेत्रीय तीसरे कार्यक्रमों में से एक है।,O B-GRP O O O O O O O O O O O
इसका गठन २०१४ में स्टार एम्पायर एंटरटेनमेंट द्वारा किया गया था।,O O O O B-CORP I-CORP I-CORP O O O O
पास्ता को मेज़ क्षुधावर्धक के रूप में भी परोसा जा सकता है।,O O B-PROD O O O O O O O O O
इसे आमतौर पर रेंटर के बीमा या रेंटर के कवरेज के रूप में संदर्भित किया जाता है।,O O O O O B-PROD O O O O O O O O O O O
"इसके अधिक विस्तृत बहुभुज मॉडल के साथ, यह अपने पिछले पांच वर्षों के सेगा पत्रिका का सपना पर दृष्टिगत रूप से अधिक परिष्कृत है।",O O O O O O O O O O O O O B-CORP B-PROD I-PROD I-PROD O O O O O O O
प्रदर्शन,B-CW
"८० (फरवरी १९६९) में एक उपस्थिति के बाद, उन्हें मई - जून १९६९ से शुरू होकर एक और श्रृंखला मिली जो फरवरी - मार्च १९७६ तक चली।",O O O O O O O O O O O O O O O O O O O O O O O O O O O
प्रचार और सहायता family farming में की गई है।,O O O B-CORP I-CORP O O O O
यह कनेल विभाग की राजधानी है।,O B-LOC I-LOC O O O
बुकमैन ने १९६१ में अपनी सेवानिवृत्ति तक २३ वर्षों तक मोरल री-आर्ममेंट का नेतृत्व किया।,O O O O O O O O O O B-GRP I-GRP O O O
"हालांकि, एवरेट छह महीने बाद लौटे, हालांकि, १९६६ में रेडियो लक्ज़मबर्ग द्वारा अपना खुद का शो दिए जाने से पहले।",O O O O O O O O O B-CORP I-CORP O O O O O O O O O
उसी उदाहरण को बाद में अबेब साक्षर प्रोग्रामिंग टूल के लिए फिर से लिखा गया।,O O O O O B-CW O O O O O O O O O
"२००९ में, वे सीआर वास्को डी गामा पर गए।",O O O B-GRP I-GRP I-GRP I-GRP O O
विविधता ने टिप्पणी की कि यह फिल्म अनौपचारिक है और सस्पेंस पर हल्की है क्योंकि ये केपर्स चलते हैं।,B-CORP O O O O O O O O O O O O O O O O O O
यह अब कुछ प्लास्टर काम के साथ सफेद रंग की ईंट का एक अग्रभाग प्रस्तुत करता है।,O O O B-PROD O O O O O O O O O O O O O
"अगले दिन, एक समान ईमेल सेवा, शांत मंडल ,",O O O O O O B-CORP I-CORP O
"या लेस्को मिर्च, प्याज, टमाटर और मसालों से बना एक स्टू है।",O B-PROD O O O O O O O O O O
"चूंकि धर्मस्थल में कोई कंफ़ेसियनल नहीं हैं, इसलिए स्वीकारोक्ति आमतौर पर खुली हवा में होती है।",O O O O B-PROD O O O O O O O O O O O
"फाइनल राउंड में, वे ३ - १ में चीन की राष्ट्रीय बैडमिंटन टीम से हार गए।",O O O O O O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O
इसे १९८२ में ऐतिहासिक स्थलों का राष्ट्रीय पंजीकरण पर सूचीबद्ध किया गया था।,O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O O O
लोकप्रिय टेलीविजन अभिनेत्री दृष्टि धामी गाने के रीमिक्स संस्करण में दिखाई दीं।,O O O B-PER I-PER O O O O O O O
"वह शायद ही कभी एक नेकटाई पहनता है क्योंकि यह सिकुड़ रहा है, और वैकल्पिक टाई मुद्रित कपड़े पहनता है; जब एक प्रतियोगिता में पहना जाता है, तो यह अक्सर ढीला होता है।",O O O O O B-PROD O O O O O O O O O O O O O O O O O O O O O O O O O O O
राजतिलक सड़क एक सप्ताह के विशेष एपिसोड के साथ अपनी ६०वीं वर्षगांठ मना रहा है।,B-CW I-CW O O O O O O O O O O O O O
अन्य युद्ध अनुबंधों में रेमिंगटन आर्म्स और ग्लाइडर टो रिलीज के लिए डाई और पंच शामिल हैं।,O O O O B-CORP I-CORP O O O O O O O O O O O
"वह धार्मिक और पूजनीय थी जोन ऑफ़ आर्क ; एक बच्चे के रूप में, उसने यह भी कल्पना की कि वह एक नायिका थी।",O O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O
"उनकी वापसी पर वे प्रिंस विलियम, ड्यूक ऑफ कंबरलैंड के सचिव बने, एक ऐसा पद जो उन्होंने अपने पूरे जीवन के लिए धारण किया।",O O O O B-PER I-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O
"आर्टिस्टडायरेक्ट के साथ एक साक्षात्कार में, जब पूछा गया कि उत्तम दिन के पीछे की कहानी क्या है?",B-CORP O O O O O O O O O O O O O O O O O
"ऐतिहासिक रूप से, हौड या तो आधुनिक हुड के समान थे, या हेडगियर का एक अलग रूप था।",O O O B-PROD O O O O O O O O O O O O O O
उनका भावपूर्ण डेब्यू सिंगल उन्हें ट्रेसी चैपमैन जैसी ही तेज शुरुआत दे सकता है।,O O O O O B-PER I-PER O O O O O O O
"उनकी अधिकांश रचनाएँ अन्य विद्वानों के सहयोग से तैयार की गईं, जैसे कि जोहान कैस्पर वॉन ओरेली , जो उन्हें अपना दाहिना हाथ मानते थे।",O O O O O O O O O O O O O B-PER I-PER I-PER I-PER O O O O O O O O
इसे २००२ में ऐतिहासिक स्थलों का राष्ट्रीय पंजीकरण में जोड़ा गया था।,O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O O
"१९३३ में, कंपनी ने बैंक मेली ईरान बैंकनोटों की दूसरी श्रृंखला मुद्रित की।",O O O O B-CORP I-CORP I-CORP O O O O O O
"इससे पहले , सर्बिया में १९ से ३५ वर्ष की आयु के सभी पुरुषों के लिए अनिवार्य राष्ट्रीय सेवा थी।",O O O B-LOC O O O O O O O O O O O O O O O O
"द्रू ब्रीज ने अपने १०,१७०वें प्रयास से पास प्रयासों का करियर रिकॉर्ड तोड़ दिया।",B-PER I-PER O O O O O O O O O O O O
इसके कार्यान्वयन की निगरानी बाल अधिकारों पर समिति द्वारा की जाती है।,O O O O B-GRP I-GRP I-GRP I-GRP O O O O
हार्ड ड्राइव में प्लैटर्स की कठोर प्रकृति उन्हें उनका नाम देती है (लचीली सामग्री के विपरीत जो फ्लॉपी डिस्क बनाने के लिए उपयोग की जाती है)।,O O O O O O O O O O O O O O O O O B-PROD I-PROD O O O O O O O
"उन्होंने दो एल्बम रिकॉर्ड किए, दोनों को संगीत निर्माता द्वारा रिलीज़ किया गया, और नब्बे के दशक में होने के बावजूद हर हफ्ते मंच पर प्रदर्शन करना जारी रखा।",O O O O O O O B-CORP I-CORP O O O O O O O O O O O O O O O O O O O O
"टेक्सास की हैंडबुक के अनुसार, २००० में समुदाय की अनुमानित जनसंख्या ७०० थी।",B-CW I-CW I-CW O O O O O O O O O O
ये नाट्य संपत्ति रिहर्सल प्रॉप्स से भिन्न हैं क्योंकि ये केवल प्लेसहोल्डर नहीं हैं बल्कि वास्तविक उत्पादन में उपयोग किए जाने वाले प्रॉप्स हैं।,O B-PROD I-PROD O O O O O O O O O O O O O O O O O O O O O
इसे नक्काशीदार लकड़ी के एक टुकड़े से बनाया गया है।,O O B-PROD O O O O O O O
"फ्यो वाकाशी , विभिन्न मोनोगत्री स्रोतों से कविताओं का एक १३वीं शताब्दी संग्रह, जिनमें से कई अब मौजूद नहीं हैं",B-CW I-CW O O O O O O O O O O O O O O O O O O
सिरेमिक कैपेसिटर में एक मृतिकाशिल्प डाइइलेक्ट्रिक होता है।,O O O O B-PROD O O O
कुछ कुचिफ्रिटोस व्यंजन केला को प्राथमिक सामग्री के रूप में उपयोग करके तैयार किए जाते हैं।,O O O B-PROD O O O O O O O O O O O O
न्यूयॉर्क पब्लिक लाइब्रेरी में सबसे पूर्ण सूची हो सकती है (वर्षों के प्रतिनिधित्व के साथ):,B-GRP I-GRP I-GRP O O O O O O O O O O O O
कार्गो का कुल भार : सिग्नस का उपयोग करना।,O O O O O B-PROD O O O
"प्रांगण एक तीन मंजिला है, प्लास्टर एक सपाट छत के केंद्र में तांबे के गुंबददार घंटाघर के साथ ईंट की संरचना।",O O O O O B-PROD O O O O O O O O O O O O O O O
ब्रूस की गुफा जल मार्ग के दक्षिण की ओर कीर्टल वाटर के ऊपर एक लाल बलुआ पत्थर की चट्टान में स्थित है।,O O O O O O O O O B-LOC I-LOC O O O O O O O O O O O
येशिवा कॉलेज (यशीवा विश्वविद्यालय) . पर एक समलैंगिक क्लब के अस्तित्व पर हमला,B-GRP I-GRP I-GRP I-GRP O O O O O O O O O
लाहर के कागजात लंदन विश्वविद्यालय द्वारा आयोजित किए जाते हैं।,O O O B-GRP I-GRP O O O O O
एनएफबी एनिमेटर रयान लार्किन ने फिल्म के लिए एनिमेटेड दृश्यों को भी डिजाइन किया है।,O O B-PER I-PER O O O O O O O O O O O
"कुछ दिनों के बाद, वह कुछ मील दूर एक गांव पुडलटाउन में चली जाती है।",O O O O O O O O O O B-LOC O O O O
"यह शब्द २००१ में मनोवैज्ञानिक जेम्स सी. कॉफ़मैन द्वारा गढ़ा गया था, और भविष्य के अनुसंधान के लिए निहितार्थ और संभावनाओं पर चर्चा की गई है।",O O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O O O
यह गैल्वानी सेल (बैटरी) द्वारा संचालित था।,O B-PROD I-PROD O O O O
"उनका जन्म देहरादून , भारत में हुआ था।",O O B-LOC O B-LOC O O O
"यह अजीब है, सेल्वाडोर दाली , सर्कल को बंद करने में लगभग पूरी तरह से दिलचस्पी नहीं है, और यही इसके पागलपन में सुंदरता है।",O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O
"रिकॉर्ड ने १९७० के दशक में ब्रंसविक पर समूह की कई हिट फ़िल्में लिखी और बनाईं, साथ ही अन्य कृत्यों के लिए लेखन और निर्माण किया।",O O O O O O B-CORP O O O O O O O O O O O O O O O O O O O
,
"सानिया मिर्ज़ा / महेश भूपति (चैंपियंस, गोल्ड मेडलिस्ट)",B-PER I-PER O B-PER I-PER O O O
वह आम तौर पर एक कंपाउंड कॉम कंपनी छंटनी और बेकार स्टॉक विकल्पों से अपनी कड़वाहट के कारण एक अत्याचारी है।,O O O O O B-CORP I-CORP I-CORP O O O O O O O O O O O O O
"१९७२ से १९७३ तक, वह एनएईएम में रिसर्च फेलो थीं।",O O O O O B-GRP O O O O
गार्डियन ने कॉन्सर्ट को पांच में से चार स्टार दिए।,B-GRP O O O O O O O O O
एनपीआर ने २०१६ में अपना कमेंट सेक्शन बंद कर दिया।,B-CORP O O O O O O O O O
"चूंकि हैश तालिकाएं एक्सेस पैटर्न का कारण बनती हैं जो चारों ओर उछलती हैं, यह सीपीयू कैश मिस को ट्रिगर कर सकता है जो लंबी देरी का कारण बनते हैं।",O O O O O O O O O O O O O O O B-PROD I-PROD O O O O O O O O O O O O O
सोलहवीं सदी के खंडहर महल ।,O O O O B-LOC O
"हॉट आइसोस्टैटिक प्रेसिंग (कूल्हा) एक निर्माण प्रक्रिया है, जिसका उपयोग धातुओं की सरंध्रता को कम करने और कई मृतिकाशिल्प सामग्री के घनत्व को बढ़ाने के लिए किया जाता है।",O O O O O O O O O O O O O O O O O O B-PROD O O O O O O O O O O
सबसे बड़ा और एकमात्र द्वीप हेल्गोया है।,O O O O O B-LOC O
हॉलिस स्टेसी ने निर्धारित पाठ्यक्रम पर २९२ के चार ओवर पार स्कोर के साथ इवेंट जीता।,B-PER I-PER O O O O O O O O O O O O O O
"उसके बाद, २०वीं शताब्दी तक पवन बैंड के लिए कुछ सिम्फनी लिखी गईं, जब पिछली शताब्दियों की तुलना में कॉन्सर्ट बैंड के लिए अधिक सिम्फनी लिखी गईं।",O O O O O O O O O O O O O O O O O O O B-GRP I-GRP O O O O O O
उनके अराजक और ऊर्जावान लाइव प्रदर्शन के कारण उनके रवैये में उनकी तुलना कभी-कभी सेक्स पिस्तौल से की जाती है।,O O O O O O O O O O O O O O B-GRP I-GRP O O O O
"अध्याय ४ एकमात्र ऐसा मुद्दा था जिसे जिंदगी के कवर पर नहीं दिखाया गया था; इसके बजाय, कवर स्टोरी रॉय कैम्पानेला पर थी।",O O O O O O O O O O O O O O O O O O O B-PER I-PER O O
"इन प्रिंटों का एक विशाल संग्रह कांग्रेस के पुस्तकालय द्वारा बनाए रखा जाता है,",O O O O O O B-GRP I-GRP I-GRP O O O O O
"उन्होंने २००५ में खिलौनों का कारखाना पर हस्ताक्षर किए, लेकिन २०१० में लेबल को टियरब्रिज रिकॉर्ड्स / एवेक्स में बदल दिया।",O O O B-CORP I-CORP I-CORP O O O O O O O O O O O O O O O
उनके शुरुआती प्रयासों में से एक पूरी तरह से हर बार एक लूप शामिल था लेस्ली गोर रोना शब्द गाया।,O O O O O O O O O O O O O O O B-PER I-PER O O O
अफिया कंपनी की पहली ब्रांड एंबेसडर हैं जो हिजाब पहनती हैं।,O O O O O O O O B-PROD O O
डीजल लोकोमोटिव द्वारा प्रतिस्थापित किए जाने तक बड़ी संख्या में सेवा में बने रहे।,B-PROD I-PROD O O O O O O O O O O O O
इसे १९७८ में ऐतिहासिक स्थलों का राष्ट्रीय पंजीकरण पर सूचीबद्ध किया गया था।,O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O O O
एलिस वजन में १३५ पाउंड तक बढ़ गई और एक गैर-शीर्षक लड़ाई में मेगुमी याबुशिता का सामना किया।,O O O O O O O O O O O O O B-PER I-PER O O O
"बेकटेल इंजीनियरिंग, खरीद और निर्माण का मुख्य ठेकेदार था।",B-CORP O O O O O O O O
उन्होंने १९८३ की फ़िल्म मोहमाया की शर्तें पर अपने कला निर्देशन के लिए दूसरा नामांकन साझा किया।,O O O O B-CW I-CW I-CW O O O O O O O O O O
"१९५८ से १९६७ तक, उन्होंने हाँगर हमलों का अध्ययन करने में अधिक समय बिताया।",O O O O O B-PROD O O O O O O O O
अक्टूबर - सोलसीक फाइल शेयरिंग प्रोग्राम जारी किया गया।,O O B-CW O O O O O O
इसे १९९५ में पूरी तरह से पुनर्निर्मित और आधुनिक बनाया गया था और २००० में इसे न्यू यॉर्क सिटी लैंडमार्क्स प्रिजर्वेशन कमीशन नामित किया गया था।,O O O O O O O O O O O O O O O O B-GRP I-GRP I-GRP I-GRP I-GRP I-GRP O O O O
"आधिकारिक तौर पर बैंड समाप्त हो गया, लेकिन २००१ में अपने एल्बम जीवन की साँसे के साथ वापसी की।",O O O O O O O O O O O O B-CW I-CW I-CW O O O O
दोनों फाइटर्स अब इंटरनेशनल बॉक्सिंग हॉल ऑफ फ़ेम के सदस्य हैं।,O O O B-GRP I-GRP I-GRP I-GRP I-GRP O O O
